method,k,avg_recall@10,p50_latency,p95_latency,p99_latency,mean_latency,n_queries,avg_recall@20,avg_recall@50,selectivity_bin
PreFilter,50,,101.90780251286924,133.3004146523308,141.3015504705254,99.74557605917276,58,,1.0,0.15-0.3
PostFilter,10,0.2810344827586207,5.49791002413258,9.553846233757213,10.622227357234806,5.905352631214492,58,,,0.15-0.3
PostFilter,20,,5.460258515086025,9.251271688845009,38.912743944674716,6.845265789487367,58,0.2974137931034483,,0.15-0.3
PostFilter,50,,5.504532949998975,9.90595486946404,35.218307842733324,6.905238051770319,58,,0.32482758620689656,0.15-0.3
HybridSearch,10,0.2827586206896552,31.487326486967504,48.92297462210989,64.66126812039874,32.80533973834124,58,,,0.15-0.3
HybridSearch,20,,30.796025006566197,48.58118218253367,70.51165714277886,32.544094483079064,58,0.2991379310344827,,0.15-0.3
HybridSearch,50,,30.217073508538306,40.879239630885415,45.72788436897099,30.76172833218528,58,,0.3258620689655172,0.15-0.3
Oracle,10,1.0,130.98627253202721,160.17938425065947,184.027628096519,132.9984417286512,108,,,0.3-1.0
Oracle,20,,130.68516255589202,167.7871108637191,177.29691451764663,133.11822047237203,108,1.0,,0.3-1.0
Oracle,50,,128.8485715049319,163.6578026518691,226.47476636106114,133.83612745976146,108,,1.0,0.3-1.0
PreFilter,10,1.0,129.9198100459762,158.6221741279587,213.19165230728683,132.74157782951886,108,,,0.3-1.0
PreFilter,20,,129.3400755384937,157.41838451358487,174.16932341642675,131.8012296655474,108,1.0,,0.3-1.0
PreFilter,50,,129.77583048632368,159.6547833003569,251.28226938424575,132.74121988366392,108,,1.0,0.3-1.0
PostFilter,10,0.31203703703703706,4.097158962395042,8.376817277166989,11.750790642108756,5.1399198117131295,108,,,0.3-1.0
PostFilter,20,,3.5113009507767856,8.27375888475217,9.847110641421747,4.43792750054315,108,0.31805555555555565,,0.3-1.0
PostFilter,50,,3.6257620085962117,7.471302594058215,8.573383422335604,4.394882394181979,108,,0.327037037037037,0.3-1.0
HybridSearch,10,0.31203703703703706,25.15231550205499,34.047538647428155,46.155912699177826,25.75564232689363,108,,,0.3-1.0
HybridSearch,20,,25.279117980971932,38.16389690618962,44.552289448911296,26.164969316192177,108,0.31805555555555565,,0.3-1.0
HybridSearch,50,,25.811548985075206,37.38669755985029,72.65665642567886,27.233267688037206,108,,0.327037037037037,0.3-1.0
